 muB (MeV)    P (MeV/fm^3)           nB/n0    e (MeV/fm^3)              cs
 930.54493    0.288754E-10    0.639449E-08    0.952029E-06    0.688482E-02
 930.54917    0.334652E-10    0.703076E-08    0.104676E-05    0.705722E-02
 930.55385    0.387810E-10    0.773034E-08    0.115092E-05    0.723264E-02
 930.55830    0.449047E-10    0.849952E-08    0.126544E-05    0.740614E-02
 930.56357    0.519696E-10    0.934525E-08    0.139136E-05    0.758824E-02
 930.56851    0.601274E-10    0.102751E-07    0.152981E-05    0.776584E-02
 930.57401    0.694998E-10    0.112975E-07    0.168204E-05    0.795055E-02
 930.57984    0.803299E-10    0.124217E-07    0.184942E-05    0.813564E-02
 930.58550    0.927588E-10    0.136576E-07    0.203345E-05    0.832017E-02
 930.59220    0.107077E-09    0.150166E-07    0.223579E-05    0.851276E-02
 930.59829    0.123544E-09    0.165108E-07    0.245827E-05    0.869932E-02
 930.60537    0.142426E-09    0.181537E-07    0.270288E-05    0.889565E-02
 930.61247    0.164185E-09    0.199600E-07    0.297184E-05    0.908908E-02
 930.61963    0.189075E-09    0.219461E-07    0.326757E-05    0.928455E-02 
 930.62795    0.217706E-09    0.241298E-07    0.359272E-05    0.948638E-02
 930.63540    0.250508E-09    0.265308E-07    0.395022E-05    0.968174E-02
 930.64441    0.288064E-09    0.291706E-07    0.434331E-05    0.988895E-02
 930.65289    0.331214E-09    0.320732E-07    0.477551E-05    0.100900E-01
 930.66191    0.380445E-09    0.352646E-07    0.525072E-05    0.102966E-01
 930.67200    0.436992E-09    0.387735E-07    0.577322E-05    0.105068E-01
 930.68112    0.501545E-09    0.426315E-07    0.634772E-05    0.107116E-01
 930.69238    0.575385E-09    0.468735E-07    0.697939E-05    0.109290E-01
 930.70237    0.659950E-09    0.515375E-07    0.767392E-05    0.111376E-01
 930.71371    0.756266E-09    0.566656E-07    0.843756E-05    0.113561E-01
 930.72566    0.866709E-09    0.623040E-07    0.927720E-05    0.115740E-01
 930.73684    0.992412E-09    0.685034E-07    0.102004E-04    0.117896E-01
 930.75059    0.113612E-08    0.753197E-07    0.112155E-04    0.120169E-01
 930.76235    0.130016E-08    0.828142E-07    0.123316E-04    0.122339E-01
 930.77651    0.148683E-08    0.910544E-07    0.135587E-04    0.124646E-01
 930.79038    0.170046E-08    0.100115E-06    0.149080E-04    0.126906E-01
 930.80412    0.194307E-08    0.110076E-06    0.163916E-04    0.129187E-01
 930.82053    0.222029E-08    0.121029E-06    0.180228E-04    0.131556E-01
 930.83444    0.253579E-08    0.133072E-06    0.198163E-04    0.133828E-01
 930.85194    0.289470E-08    0.146313E-06    0.217884E-04    0.136262E-01
 930.86780    0.330455E-08    0.160871E-06    0.239567E-04    0.138610E-01
 930.88474    0.376934E-08    0.176878E-06    0.263408E-04    0.141032E-01
 930.90389    0.430013E-08    0.194478E-06    0.289621E-04    0.143500E-01
 930.92047    0.490267E-08    0.213829E-06    0.318444E-04    0.145896E-01
 930.94176    0.558822E-08    0.235106E-06    0.350135E-04    0.148460E-01
 930.95981    0.636917E-08    0.258499E-06    0.384981E-04    0.150909E-01
 930.98069    0.725429E-08    0.284221E-06    0.423294E-04    0.153486E-01
 931.00260    0.826418E-08    0.312502E-06    0.465421E-04    0.156060E-01
 931.02255    0.940835E-08    0.343596E-06    0.511740E-04    0.158604E-01
 931.04789    0.107105E-07    0.377785E-06    0.562669E-04    0.161299E-01
 931.06858    0.121903E-07    0.415375E-06    0.618668E-04    0.163866E-01
 931.09423    0.138675E-07    0.456706E-06    0.680240E-04    0.166610E-01
 931.11890    0.157788E-07    0.502150E-06    0.747940E-04    0.169295E-01
 931.14311    0.179414E-07    0.552115E-06    0.822379E-04    0.172010E-01
 931.17258    0.204029E-07    0.607052E-06    0.904227E-04    0.174837E-01
 931.19663    0.231942E-07    0.667455E-06    0.994221E-04    0.177547E-01
 931.22783    0.263591E-07    0.733869E-06    0.109317E-03    0.180461E-01
 931.25536    0.299600E-07    0.806890E-06    0.120197E-03    0.183269E-01
 931.28491    0.340316E-07    0.887178E-06    0.132161E-03    0.186173E-01
 931.31851    0.386656E-07    0.975455E-06    0.145314E-03    0.189134E-01
 931.34685    0.439107E-07    0.107252E-05    0.159778E-03    0.192011E-01
 931.38422    0.498610E-07    0.117923E-05    0.175681E-03    0.195093E-01
 931.41494    0.566189E-07    0.129657E-05    0.193167E-03    0.198036E-01
 931.45105    0.642591E-07    0.142558E-05    0.212393E-03    0.201140E-01
 931.48871    0.729504E-07    0.156743E-05    0.233534E-03    0.204238E-01
 931.52255    0.827737E-07    0.172339E-05    0.256779E-03    0.207305E-01
 931.56630    0.939240E-07    0.189488E-05    0.282338E-03    0.210551E-01
 931.60107    0.106563E-06    0.208342E-05    0.310441E-03    0.213647E-01
 931.64498    0.120856E-06    0.229073E-05    0.341342E-03    0.216955E-01
 931.68665    0.137101E-06    0.251866E-05    0.375319E-03    0.220191E-01
 931.72745    0.155443E-06    0.276927E-05    0.412679E-03    0.223465E-01
 931.77753    0.176271E-06    0.304482E-05    0.453758E-03    0.226870E-01
 931.81757    0.199835E-06    0.334779E-05    0.498927E-03    0.230136E-01
 931.87043    0.226497E-06    0.368090E-05    0.548592E-03    0.233643E-01
 931.91622    0.256758E-06    0.404716E-05    0.603203E-03    0.237020E-01
 931.96569    0.290910E-06    0.444987E-05    0.663250E-03    0.240512E-01
 932.02193    0.329687E-06    0.489264E-05    0.729276E-03    0.244067E-01
 932.06877    0.373487E-06    0.537947E-05    0.801876E-03    0.247520E-01
 932.13133    0.423074E-06    0.591474E-05    0.881704E-03    0.251213E-01
 932.18184    0.479259E-06    0.650327E-05    0.969481E-03    0.254735E-01
 932.24180    0.542661E-06    0.715037E-05    0.106600E-02    0.258446E-01
 932.30394    0.614613E-06    0.786185E-05    0.117212E-02    0.262140E-01
 932.35948    0.695778E-06    0.864412E-05    0.128882E-02    0.265795E-01
 932.43177    0.787705E-06    0.950423E-05    0.141713E-02    0.269654E-01
 932.48837    0.891672E-06    0.104499E-04    0.155823E-02    0.273327E-01
 932.56062    0.100901E-05    0.114897E-04    0.171337E-02    0.277245E-01
 932.62842    0.114205E-05    0.126330E-04    0.188396E-02    0.281066E-01
 932.69488    0.129196E-05    0.138900E-04    0.207154E-02    0.284927E-01
 932.77652    0.146178E-05    0.152721E-04    0.227780E-02    0.288927E-01
 932.84109    0.165348E-05    0.167917E-04    0.250460E-02    0.292754E-01
 932.92712    0.186990E-05    0.184625E-04    0.275399E-02    0.296854E-01
 933.00064    0.211490E-05    0.202996E-04    0.302821E-02    0.300787E-01
 933.08048    0.239081E-05    0.223194E-04    0.332975E-02    0.304846E-01
 933.17089    0.270326E-05    0.245403E-04    0.366132E-02    0.308959E-01
 933.24569    0.305534E-05    0.269821E-04    0.402592E-02    0.312942E-01
 933.34619    0.345294E-05    0.296669E-04    0.442683E-02    0.317187E-01
 933.42621    0.390222E-05    0.326188E-04    0.486768E-02    0.321215E-01
 933.52192    0.440797E-05    0.358645E-04    0.535244E-02    0.325448E-01
 933.62029    0.498024E-05    0.394331E-04    0.588549E-02    0.329638E-01
 933.70802    0.562411E-05    0.433568E-04    0.647163E-02    0.333768E-01
 933.82240    0.635124E-05    0.476709E-04    0.711617E-02    0.338109E-01
 933.91089    0.717116E-05    0.524143E-04    0.782492E-02    0.342213E-01
 934.02470    0.809395E-05    0.576296E-04    0.860428E-02    0.346578E-01
 934.13026    0.913669E-05    0.633639E-04    0.946128E-02    0.350802E-01
 934.23389    0.103083E-04    0.696688E-04    0.104037E-01    0.355051E-01
 934.36092    0.116310E-04    0.766010E-04    0.114400E-01    0.359430E-01
 934.46040    0.131192E-04    0.842230E-04    0.125795E-01    0.363583E-01
 934.59379    0.147939E-04    0.926034E-04    0.138326E-01    0.368016E-01
 934.70617    0.166826E-04    0.101818E-03    0.152105E-01    0.372226E-01
 934.82876    0.188024E-04    0.111949E-03    0.167257E-01    0.376546E-01
 934.96673    0.211935E-04    0.123088E-03    0.183920E-01    0.380890E-01
 935.08007    0.238780E-04    0.135336E-03    0.202243E-01    0.385056E-01
 935.23298    0.268976E-04    0.148802E-03    0.222391E-01    0.389471E-01
 935.35284    0.302953E-04    0.163608E-03    0.244549E-01    0.393606E-01
 935.49716    0.341051E-04    0.179887E-03    0.268914E-01    0.397925E-01
 935.64396    0.383960E-04    0.197787E-03    0.295707E-01    0.402152E-01
 935.77433    0.432034E-04    0.217467E-03    0.325171E-01    0.406270E-01
 935.94448    0.486071E-04    0.239105E-03    0.357572E-01    0.410562E-01
 936.07408    0.546710E-04    0.262897E-03    0.393203E-01    0.414549E-01
 936.24204    0.614638E-04    0.289056E-03    0.432385E-01    0.418761E-01
 936.39549    0.690980E-04    0.317818E-03    0.475474E-01    0.422770E-01
 936.54605    0.776343E-04    0.349441E-03    0.522857E-01    0.426746E-01
 936.73006    0.872166E-04    0.384212E-03    0.574965E-01    0.430789E-01
 936.87203    0.979385E-04    0.422442E-03    0.632267E-01    0.434540E-01
 937.06380    0.109936E-03    0.464476E-03    0.695282E-01    0.438508E-01
 937.22223    0.123381E-03    0.510693E-03    0.764581E-01    0.442179E-01
 937.39567    0.138385E-03    0.561508E-03    0.840788E-01    0.445884E-01
 937.58926    0.155194E-03    0.617379E-03    0.924596E-01    0.449535E-01
 937.74623    0.173946E-03    0.678810E-03    0.101676E+00    0.452930E-01
 937.95923    0.194893E-03    0.746353E-03    0.111811E+00    0.456454E-01
 938.12222    0.218285E-03    0.820617E-03    0.122957E+00    0.459549E-01
 938.31988    0.244318E-03    0.902271E-03    0.135215E+00    0.462879E-01
 938.51815    0.273430E-03    0.992049E-03    0.148695E+00    0.466535E-01
 938.69321    0.305923E-03    0.109076E-02    0.163519E+00    0.470784E-01
 938.92346    0.342419E-03    0.119929E-02    0.179822E+00    0.473521E-01
 939.09286    0.382678E-03    0.131863E-02    0.197750E+00    0.472217E-01
 939.31044    0.426364E-03    0.144983E-02    0.217467E+00    0.468070E-01
 939.49844    0.473381E-03    0.159410E-02    0.239151E+00    0.437665E-01
 939.63745    0.513574E-03    0.175271E-02    0.262996E+00    0.351583E-01
 939.73676    0.535268E-03    0.192711E-02    0.289217E+00    0.284640E-01
 939.77910    0.558179E-03    0.211887E-02    0.318049E+00    0.277917E-01
 939.87126    0.582025E-03    0.232970E-02    0.349752E+00    0.271561E-01
 939.92085    0.607266E-03    0.256151E-02    0.384613E+00    0.269534E-01
 939.98515    0.635198E-03    0.281638E-02    0.422944E+00    0.268959E-01
 940.06190    0.665485E-03    0.309662E-02    0.465093E+00    0.269414E-01
 940.10808    0.699431E-03    0.340474E-02    0.511439E+00    0.271478E-01
 940.19629    0.737200E-03    0.374353E-02    0.562400E+00    0.273286E-01
 940.24612    0.779341E-03    0.411601E-02    0.618436E+00    0.276323E-01
 940.32150    0.827032E-03    0.452557E-02    0.680051E+00    0.279312E-01
 940.39477    0.880267E-03    0.497588E-02    0.747803E+00    0.282693E-01
 940.45570    0.940712E-03    0.547099E-02    0.822302E+00    0.286560E-01
 940.54699    0.100871E-02    0.601536E-02    0.904220E+00    0.290224E-01
 940.60678    0.108558E-02    0.661391E-02    0.994296E+00    0.294505E-01
 940.69602    0.117274E-02    0.727201E-02    0.109334E+01    0.298657E-01
 940.77302    0.127107E-02    0.799559E-02    0.120226E+01    0.302927E-01
 940.85066    0.138258E-02    0.879118E-02    0.132201E+01    0.307440E-01
 940.94868    0.150874E-02    0.966592E-02    0.145370E+01    0.311821E-01
 941.02186    0.165142E-02    0.106277E-01    0.159851E+01    0.316422E-01
 941.12646    0.181314E-02    0.116852E-01    0.175773E+01    0.321141E-01
 941.21076    0.199621E-02    0.128479E-01    0.193282E+01    0.326127E-01
 941.30726    0.220414E-02    0.141263E-01    0.212535E+01    0.331447E-01
 941.41465    0.244029E-02    0.155319E-01    0.233706E+01    0.337103E-01
 941.50459    0.270927E-02    0.170774E-01    0.256986E+01    0.343659E-01
 941.62916    0.301756E-02    0.187766E-01    0.282585E+01    0.351285E-01
 941.72710    0.337254E-02    0.206449E-01    0.310735E+01    0.360066E-01
 941.85193    0.378383E-02    0.226991E-01    0.341689E+01    0.371056E-01
 941.98148    0.426739E-02    0.249578E-01    0.375728E+01    0.383838E-01
 942.10534    0.483680E-02    0.274411E-01    0.413159E+01    0.397667E-01
 942.26948    0.551024E-02    0.301716E-01    0.454321E+01    0.413282E-01
 942.41115    0.631299E-02    0.331737E-01    0.499586E+01    0.429971E-01
 942.59206    0.726733E-02    0.364746E-01    0.549363E+01    0.445518E-01
 942.77361    0.838753E-02    0.401039E-01    0.604104E+01    0.460841E-01
 942.96415    0.970837E-02    0.440944E-01    0.664303E+01    0.475037E-01
 943.18097    0.112400E-01    0.484819E-01    0.730507E+01    0.487156E-01
 943.38794    0.130074E-01    0.533059E-01    0.803315E+01    0.498676E-01
 943.62529    0.150417E-01    0.586100E-01    0.883385E+01    0.509403E-01
 943.85389    0.173703E-01    0.644419E-01    0.971446E+01    0.518674E-01
 944.09993    0.200161E-01    0.708540E-01    0.106829E+02    0.528375E-01
 944.36098    0.230476E-01    0.779042E-01    0.117480E+02    0.537588E-01
 944.60926    0.264797E-01    0.856558E-01    0.129194E+02    0.546236E-01
 944.90205    0.303869E-01    0.941788E-01    0.142078E+02    0.555728E-01
 945.16302    0.348346E-01    0.103550E+00    0.156248E+02    0.564229E-01
 945.46263    0.398591E-01    0.113853E+00    0.171832E+02    0.573458E-01
 945.76499    0.455961E-01    0.125182E+00    0.188972E+02    0.582392E-01
 946.05564    0.520667E-01    0.137638E+00    0.207823E+02    0.591105E-01
 946.40581    0.594276E-01    0.151333E+00    0.228558E+02    0.600496E-01
 946.69967    0.677670E-01    0.166391E+00    0.251363E+02    0.609103E-01
 947.06419    0.771944E-01    0.182948E+00    0.276446E+02    0.618942E-01
 947.40247    0.879452E-01    0.201152E+00    0.304035E+02    0.628444E-01
 947.74943    0.100075E+00    0.221167E+00    0.334380E+02    0.638863E-01
 948.15916    0.113954E+00    0.243173E+00    0.367759E+02    0.650504E-01
 948.49786    0.129735E+00    0.267369E+00    0.404473E+02    0.619603E-01
 948.39180    0.129560E+00    0.270000E+00    0.408410E+02    0.689679E-01
 948.91160    0.153267E+00    0.300000E+00    0.453945E+02    0.744528E-01
 949.44300    0.180056E+00    0.330000E+00    0.499505E+02    0.792282E-01
 949.99400    0.210481E+00    0.360000E+00    0.545092E+02    0.844759E-01
 950.57140    0.245138E+00    0.390000E+00    0.590705E+02    0.901578E-01
 951.18110    0.284657E+00    0.420000E+00    0.636347E+02    0.962290E-01
 951.82790    0.329695E+00    0.450000E+00    0.682019E+02    0.102643E+00
 952.51630    0.380927E+00    0.480000E+00    0.727723E+02    0.109349E+00
 953.24980    0.439036E+00    0.510000E+00    0.773462E+02    0.116303E+00
 954.03140    0.504710E+00    0.540000E+00    0.819236E+02    0.123457E+00
 954.86360    0.578630E+00    0.570000E+00    0.865049E+02    0.130768E+00
 955.74830    0.661464E+00    0.600000E+00    0.910904E+02    0.138199E+00
 956.68720    0.753869E+00    0.630000E+00    0.956802E+02    0.145713E+00
 957.68120    0.856475E+00    0.660000E+00    0.100275E+03    0.153286E+00
 958.73120    0.969891E+00    0.690000E+00    0.104874E+03    0.160881E+00
 959.83740    0.109470E+01    0.720000E+00    0.109479E+03    0.168166E+00
 960.99200    0.123049E+01    0.750000E+00    0.114089E+03    0.174406E+00
 962.17490    0.137530E+01    0.780000E+00    0.118704E+03    0.180487E+00
 963.40190    0.153139E+01    0.810000E+00    0.123326E+03    0.187307E+00
 964.67750    0.169979E+01    0.840000E+00    0.127953E+03    0.194362E+00
 966.00350    0.188120E+01    0.870000E+00    0.132586E+03    0.201461E+00
 967.38040    0.207619E+01    0.900000E+00    0.137227E+03    0.208586E+00
 968.80830    0.228526E+01    0.930000E+00    0.141873E+03    0.215691E+00
 970.28690    0.250885E+01    0.960000E+00    0.146527E+03    0.222724E+00
 971.81560    0.274734E+01    0.990000E+00    0.151188E+03    0.229695E+00
 973.39358    0.300110E+01    0.102000E+01    0.155857E+03    0.236600E+00
 975.02013    0.327047E+01    0.105000E+01    0.160533E+03    0.243437E+00
 976.69439    0.355579E+01    0.108000E+01    0.165217E+03    0.250188E+00
 978.41557    0.385735E+01    0.111000E+01    0.169909E+03    0.256855E+00
 980.18289    0.417549E+01    0.114000E+01    0.174610E+03    0.263458E+00
 981.99563    0.451050E+01    0.117000E+01    0.179319E+03    0.269998E+00
 983.85314    0.486271E+01    0.120000E+01    0.184037E+03    0.276467E+00
 985.75487    0.523242E+01    0.123000E+01    0.188764E+03    0.282886E+00
 987.70036    0.561998E+01    0.126000E+01    0.193500E+03    0.303834E+00
 989.91491    0.610775E+01    0.129000E+01    0.198246E+03    0.245820E+00
 989.91491    0.610775E+01    0.131100E+01    0.201572E+03    0.000000E+00
 989.91491    0.610775E+01    0.133200E+01    0.204898E+03    0.000000E+00
 989.91491    0.610775E+01    0.135300E+01    0.208224E+03    0.000000E+00
 989.91491    0.610775E+01    0.137400E+01    0.211550E+03    0.000000E+00
 989.91491    0.610775E+01    0.139500E+01    0.214877E+03    0.000000E+00
 989.91491    0.610775E+01    0.141600E+01    0.218203E+03    0.000000E+00
 989.91491    0.610775E+01    0.143700E+01    0.221529E+03    0.000000E+00
 989.91491    0.610775E+01    0.145800E+01    0.224855E+03    0.000000E+00
 989.91491    0.610775E+01    0.147900E+01    0.228181E+03    0.000000E+00
 989.91491    0.610775E+01    0.150000E+01    0.231507E+03    0.240606E+00
 992.94328    0.684922E+01    0.156000E+01    0.240989E+03    0.282541E+00
 994.51566    0.724548E+01    0.159000E+01    0.245759E+03    0.291325E+00
 996.12808    0.765956E+01    0.162000E+01    0.250537E+03    0.300711E+00
 999.47675    0.854374E+01    0.168000E+01    0.260116E+03    0.307032E+00
1001.21488    0.901514E+01    0.171000E+01    0.264917E+03    0.316578E+00
1002.99680    0.950697E+01    0.174000E+01    0.269727E+03    0.323028E+00
1004.82342    0.100199E+02    0.177000E+01    0.274546E+03    0.332888E+00
1008.61441    0.111119E+02    0.183000E+01    0.284210E+03    0.339497E+00
1010.58052    0.116923E+02    0.186000E+01    0.289056E+03    0.349441E+00
1012.59485    0.122966E+02    0.189000E+01    0.293912E+03    0.356173E+00
1014.65821    0.129255E+02    0.192000E+01    0.298777E+03    0.366385E+00
1018.93508    0.142601E+02    0.198000E+01    0.308539E+03    0.373209E+00
1021.15006    0.149671E+02    0.201000E+01    0.313435E+03    0.384801E+00
1024.43856    0.160361E+02    0.205338E+01    0.320534E+03    0.392640E+00
1027.72705    0.171277E+02    0.209551E+01    0.327449E+03    0.401814E+00
1031.01555    0.182411E+02    0.213643E+01    0.334190E+03    0.410908E+00
1034.30405    0.193757E+02    0.217622E+01    0.340763E+03    0.419915E+00
1037.59255    0.205310E+02    0.221491E+01    0.347177E+03    0.428824E+00
1040.88105    0.217063E+02    0.225256E+01    0.353437E+03    0.437625E+00
1044.16955    0.229012E+02    0.228922E+01    0.359553E+03    0.446306E+00
1047.45805    0.241151E+02    0.232495E+01    0.365531E+03    0.454855E+00
1050.74655    0.253476E+02    0.235978E+01    0.371378E+03    0.463260E+00
1054.03505    0.265982E+02    0.239377E+01    0.377101E+03    0.471506E+00
1057.32355    0.278665E+02    0.242697E+01    0.382708E+03    0.479578E+00
1060.61205    0.291521E+02    0.245941E+01    0.388205E+03    0.487464E+00
1063.90055    0.304545E+02    0.249115E+01    0.393599E+03    0.495147E+00
1067.18905    0.317734E+02    0.252222E+01    0.398897E+03    0.502613E+00
1070.47755    0.331086E+02    0.255268E+01    0.404105E+03    0.509848E+00
1073.76605    0.344596E+02    0.258256E+01    0.409230E+03    0.516837E+00
1077.05455    0.358261E+02    0.261190E+01    0.414279E+03    0.523567E+00
1080.34305    0.372080E+02    0.264074E+01    0.419257E+03    0.530026E+00
1083.63155    0.386050E+02    0.266912E+01    0.424170E+03    0.536200E+00
1086.92004    0.400167E+02    0.269708E+01    0.429026E+03    0.542080E+00
1090.20854    0.414431E+02    0.272466E+01    0.433829E+03    0.547656E+00
1093.49704    0.428839E+02    0.275189E+01    0.438585E+03    0.552919E+00
1096.78554    0.443389E+02    0.277880E+01    0.443301E+03    0.557863E+00
1100.07404    0.458080E+02    0.280543E+01    0.447981E+03    0.562484E+00
1103.36254    0.472911E+02    0.283181E+01    0.452632E+03    0.566777E+00
1106.65104    0.487879E+02    0.285798E+01    0.457258E+03    0.570742E+00
1109.93954    0.502985E+02    0.288396E+01    0.461864E+03    0.574379E+00
1113.22804    0.518228E+02    0.290978E+01    0.466456E+03    0.577690E+00
1116.51654    0.533605E+02    0.293547E+01    0.471039E+03    0.580678E+00
1119.80504    0.549118E+02    0.296106E+01    0.475618E+03    0.583351E+00
1123.09354    0.564765E+02    0.298657E+01    0.480196E+03    0.585713E+00
1126.38204    0.580546E+02    0.301204E+01    0.484779E+03    0.587775E+00
1129.67054    0.596461E+02    0.303748E+01    0.489370E+03    0.589547E+00
1132.95904    0.612510E+02    0.306292E+01    0.493975E+03    0.591039E+00
1136.24754    0.628693E+02    0.308838E+01    0.498597E+03    0.592264E+00
1139.53604    0.645010E+02    0.311388E+01    0.503240E+03    0.593236E+00
1142.82454    0.661461E+02    0.313945E+01    0.507908E+03    0.593968E+00
1146.11303    0.678047E+02    0.316510E+01    0.512605E+03    0.594475E+00
1149.40153    0.694768E+02    0.319084E+01    0.517333E+03    0.594773E+00
1152.69003    0.711625E+02    0.321671E+01    0.522097E+03    0.594877E+00
1155.97853    0.728619E+02    0.324271E+01    0.526899E+03    0.594802E+00
1159.26703    0.745749E+02    0.326886E+01    0.531742E+03    0.594565E+00
1162.55553    0.763018E+02    0.329517E+01    0.536629E+03    0.594182E+00
1165.84403    0.780425E+02    0.332166E+01    0.541564E+03    0.593667E+00
1169.13253    0.797972E+02    0.334834E+01    0.546547E+03    0.593036E+00
1172.42103    0.815661E+02    0.337522E+01    0.551583E+03    0.592304E+00
1175.70953    0.833491E+02    0.340231E+01    0.556672E+03    0.591486E+00
1178.99803    0.851464E+02    0.342962E+01    0.561816E+03    0.590596E+00
1182.28653    0.869582E+02    0.345716E+01    0.567019E+03    0.589647E+00
1185.57503    0.887845E+02    0.348494E+01    0.572280E+03    0.588653E+00
1188.86353    0.906255E+02    0.351295E+01    0.577602E+03    0.587626E+00
1192.15203    0.924813E+02    0.354122E+01    0.582986E+03    0.586578E+00
1195.44053    0.943520E+02    0.356973E+01    0.588433E+03    0.585521E+00
1198.72903    0.962379E+02    0.359850E+01    0.593943E+03    0.584466E+00
1202.01753    0.981389E+02    0.362753E+01    0.599518E+03    0.583423E+00
1205.30602    0.100055E+03    0.365682E+01    0.605158E+03    0.582401E+00
1208.59452    0.101987E+03    0.368636E+01    0.610864E+03    0.581411E+00
1211.88302    0.103934E+03    0.371616E+01    0.616634E+03    0.580461E+00
1215.17152    0.105898E+03    0.374622E+01    0.622470E+03    0.579560E+00
1218.46002    0.107877E+03    0.377653E+01    0.628371E+03    0.578716E+00
1221.74852    0.109872E+03    0.380709E+01    0.634336E+03    0.577936E+00
1225.03702    0.111883E+03    0.383789E+01    0.640365E+03    0.577228E+00
1228.32552    0.113911E+03    0.386893E+01    0.646458E+03    0.576599E+00
1231.61402    0.115954E+03    0.390020E+01    0.652611E+03    0.576055E+00
1234.90252    0.118015E+03    0.393169E+01    0.658826E+03    0.575604E+00
1238.19102    0.120092E+03    0.396340E+01    0.665099E+03    0.575251E+00
1241.47952    0.122186E+03    0.399531E+01    0.671430E+03    0.575003E+00
1244.76802    0.124296E+03    0.402742E+01    0.677816E+03    0.574866E+00
1248.05652    0.126424E+03    0.405970E+01    0.684254E+03    0.574846E+00
1251.34502    0.128568E+03    0.409216E+01    0.690744E+03    0.574949E+00
1254.63352    0.130730E+03    0.412477E+01    0.697281E+03    0.575181E+00
1257.92202    0.132909E+03    0.415752E+01    0.703864E+03    0.575549E+00
1261.21052    0.135105E+03    0.419039E+01    0.710489E+03    0.576058E+00
1264.49901    0.137319E+03    0.422337E+01    0.717152E+03    0.576716E+00
1267.78751    0.139550E+03    0.425643E+01    0.723851E+03    0.577529E+00
1271.07601    0.141798E+03    0.428957E+01    0.730582E+03    0.578505E+00
1274.36451    0.144064E+03    0.432276E+01    0.737339E+03    0.579650E+00
1277.65301    0.146347E+03    0.435597E+01    0.744120E+03    0.580974E+00
1280.94151    0.148647E+03    0.438919E+01    0.750920E+03    0.582483E+00
1284.23001    0.150966E+03    0.442239E+01    0.757734E+03    0.584189E+00
1287.51851    0.153301E+03    0.445555E+01    0.764556E+03    0.586100E+00
1290.80701    0.155654E+03    0.448865E+01    0.771383E+03    0.588227E+00
1294.09551    0.158025E+03    0.452165E+01    0.778207E+03    0.590581E+00
1297.38401    0.160412E+03    0.455454E+01    0.785025E+03    0.593177E+00
1300.67251    0.162817E+03    0.458727E+01    0.791829E+03    0.596026E+00
1303.96101    0.165240E+03    0.461983E+01    0.798613E+03    0.599146E+00
1307.24951    0.167679E+03    0.465218E+01    0.805372E+03    0.602553E+00
1310.53801    0.170135E+03    0.468430E+01    0.812097E+03    0.606265E+00
1313.82651    0.172608E+03    0.471614E+01    0.818783E+03    0.610304E+00
1317.11501    0.175098E+03    0.474768E+01    0.825421E+03    0.614693E+00
1320.40350    0.177604E+03    0.477889E+01    0.832005E+03    0.619459E+00
1323.69200    0.180127E+03    0.480972E+01    0.838526E+03    0.624632E+00
1326.98050    0.182666E+03    0.484014E+01    0.844977E+03    0.630244E+00
1330.26900    0.185220E+03    0.487011E+01    0.851349E+03    0.636335E+00
1333.55750    0.187790E+03    0.489960E+01    0.857633E+03    0.642947E+00
1336.84600    0.190376E+03    0.492857E+01    0.863821E+03    0.650130E+00
